Fall Tiglax 2011,,,,,,,
Chlorophyll Samples,,,,,,,
Strom,,,,,,,
Depth_m,Size_Fraction,Chl-a_ug/L,phaeo_µg/L,Integrated_0_50m_Chl_mg/m^2,CTD_Cast,Station_Name,Date
0,<20 µm,0.84,0.37,10.75,6,KIP2,9/15/2011
10,<20 µm,0.39,0.2,10.75,6,KIP2,9/15/2011
20,<20 µm,0.13,0.1,10.75,6,KIP2,9/15/2011
30,<20 µm,0.06,0.06,10.75,6,KIP2,9/15/2011
40,<20 µm,0.05,0.06,10.75,6,KIP2,9/15/2011
50,<20 µm,0.04,0.06,10.75,6,KIP2,9/15/2011
0,>20 µm,0.06,0.02,1.05,6,KIP2,9/15/2011
10,>20 µm,0.03,0.01,1.05,6,KIP2,9/15/2011
20,>20 µm,0.02,0.01,1.05,6,KIP2,9/15/2011
30,>20 µm,0.01,0.01,1.05,6,KIP2,9/15/2011
40,>20 µm,0.01,0.01,1.05,6,KIP2,9/15/2011
50,>20 µm,0.01,0.02,1.05,6,KIP2,9/15/2011
0,Total,0.9,0.39,11.81,6,KIP2,9/15/2011
10,Total,0.42,0.21,11.81,6,KIP2,9/15/2011
20,Total,0.15,0.12,11.81,6,KIP2,9/15/2011
30,Total,0.08,0.08,11.81,6,KIP2,9/15/2011
40,Total,0.06,0.07,11.81,6,KIP2,9/15/2011
50,Total,0.04,0.07,11.81,6,KIP2,9/15/2011
0,<20 µm,0.8,0.3,9.48,7,PWS1,9/15/2011
10,<20 µm,0.26,0.15,9.48,7,PWS1,9/15/2011
20,<20 µm,0.13,0.08,9.48,7,PWS1,9/15/2011
30,<20 µm,0.09,0.06,9.48,7,PWS1,9/15/2011
40,<20 µm,0.05,0.05,9.48,7,PWS1,9/15/2011
50,<20 µm,0.03,0.04,9.48,7,PWS1,9/15/2011
0,>20 µm,0.03,0.01,1.26,7,PWS1,9/15/2011
10,>20 µm,0.04,0.02,1.26,7,PWS1,9/15/2011
20,>20 µm,0.02,0.01,1.26,7,PWS1,9/15/2011
30,>20 µm,0.03,0.01,1.26,7,PWS1,9/15/2011
40,>20 µm,0.02,0.01,1.26,7,PWS1,9/15/2011
50,>20 µm,0.01,0.01,1.26,7,PWS1,9/15/2011
0,Total,0.83,0.31,10.73,7,PWS1,9/15/2011
10,Total,0.3,0.16,10.73,7,PWS1,9/15/2011
20,Total,0.16,0.09,10.73,7,PWS1,9/15/2011
30,Total,0.11,0.07,10.73,7,PWS1,9/15/2011
40,Total,0.07,0.06,10.73,7,PWS1,9/15/2011
50,Total,0.04,0.05,10.73,7,PWS1,9/15/2011
0,<20 µm,0.89,0.33,15.61,8,PWS2,9/15/2011
10,<20 µm,0.64,0.34,15.61,8,PWS2,9/15/2011
20,<20 µm,0.26,0.11,15.61,8,PWS2,9/15/2011
30,<20 µm,0.11,0.05,15.61,8,PWS2,9/15/2011
40,<20 µm,0.07,0.04,15.61,8,PWS2,9/15/2011
50,<20 µm,0.07,0.03,15.61,8,PWS2,9/15/2011
0,>20 µm,0.04,0.02,1.71,8,PWS2,9/15/2011
10,>20 µm,0.05,0.02,1.71,8,PWS2,9/15/2011
20,>20 µm,0.05,0.02,1.71,8,PWS2,9/15/2011
30,>20 µm,0.03,0.01,1.71,8,PWS2,9/15/2011
40,>20 µm,0.02,0.01,1.71,8,PWS2,9/15/2011
50,>20 µm,0.01,0.01,1.71,8,PWS2,9/15/2011
0,Total,0.94,0.35,17.32,8,PWS2,9/15/2011
10,Total,0.69,0.36,17.32,8,PWS2,9/15/2011
20,Total,0.31,0.12,17.32,8,PWS2,9/15/2011
30,Total,0.14,0.06,17.32,8,PWS2,9/15/2011
40,Total,0.09,0.05,17.32,8,PWS2,9/15/2011
50,Total,0.08,0.04,17.32,8,PWS2,9/15/2011
0,<20 µm,1.05,0.15,28.39,11,GAK10,9/16/2011
10,<20 µm,0.97,0.25,28.39,11,GAK10,9/16/2011
20,<20 µm,0.75,0.23,28.39,11,GAK10,9/16/2011
30,<20 µm,0.36,0.11,28.39,11,GAK10,9/16/2011
40,<20 µm,0.17,0.09,28.39,11,GAK10,9/16/2011
50,<20 µm,0.14,0.06,28.39,11,GAK10,9/16/2011
0,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
10,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
20,>20 µm,0.04,0.02,1.59,11,GAK10,9/16/2011
30,>20 µm,0.03,0.02,1.59,11,GAK10,9/16/2011
40,>20 µm,0.03,0.02,1.59,11,GAK10,9/16/2011
50,>20 µm,0.01,0.01,1.59,11,GAK10,9/16/2011
0,Total,1.09,0.17,29.98,11,GAK10,9/16/2011
10,Total,1.01,0.27,29.98,11,GAK10,9/16/2011
20,Total,0.79,0.26,29.98,11,GAK10,9/16/2011
30,Total,0.39,0.13,29.98,11,GAK10,9/16/2011
40,Total,0.2,0.11,29.98,11,GAK10,9/16/2011
50,Total,0.16,0.08,29.98,11,GAK10,9/16/2011
0,<20 µm,0.82,0.2,20.28,10,GAK9,9/16/2011
10,<20 µm,0.85,0.18,20.28,10,GAK9,9/16/2011
20,<20 µm,0.42,0.14,20.28,10,GAK9,9/16/2011
30,<20 µm,0.15,0.07,20.28,10,GAK9,9/16/2011
40,<20 µm,0.14,0.07,20.28,10,GAK9,9/16/2011
50,<20 µm,0.12,0.06,20.28,10,GAK9,9/16/2011
0,>20 µm,0.05,0.02,1.84,10,GAK9,9/16/2011
10,>20 µm,0.05,0.02,1.84,10,GAK9,9/16/2011
20,>20 µm,0.04,0.02,1.84,10,GAK9,9/16/2011
30,>20 µm,0.03,0.01,1.84,10,GAK9,9/16/2011
40,>20 µm,0.03,0.02,1.84,10,GAK9,9/16/2011
50,>20 µm,0.03,0.02,1.84,10,GAK9,9/16/2011
0,Total,0.87,0.22,22.12,10,GAK9,9/16/2011
10,Total,0.9,0.2,22.12,10,GAK9,9/16/2011
20,Total,0.46,0.16,22.12,10,GAK9,9/16/2011
30,Total,0.18,0.09,22.12,10,GAK9,9/16/2011
40,Total,0.16,0.08,22.12,10,GAK9,9/16/2011
50,Total,0.14,0.07,22.12,10,GAK9,9/16/2011
0,<20 µm,0.55,0.14,15.06,14,GAK2,9/17/2011
10,<20 µm,0.29,0.11,15.06,14,GAK2,9/17/2011
20,<20 µm,0.23,0.12,15.06,14,GAK2,9/17/2011
30,<20 µm,0.37,0.15,15.06,14,GAK2,9/17/2011
40,<20 µm,0.28,0.14,15.06,14,GAK2,9/17/2011
50,<20 µm,0.11,0.09,15.06,14,GAK2,9/17/2011
