Seward Line  - Chlorophyll-a Results,,,,,,,
10-May,,,,,,,
Norseman II,,,,,,,
Sample_ID,Size_Fraction,Station_Name,Date,CTD_Cast,Depth_m,Chl-a_ug/L,
175,Total,GAK01,5/6/2010,29,0,5.950075188,266.6161805
176,Total,GAK01,5/6/2010,29,20,8.81,
177,Total,GAK01,5/6/2010,29,30,4.36,
178,Total,GAK01,5/6/2010,29,40,4.5,
163,Total,GAK01i,5/6/2010,27,0,7.32008,176.760619
164,Total,GAK01i,5/6/2010,27,10,7.63,
165,Total,GAK01i,5/6/2010,27,20,4.38,
166,Total,GAK01i,5/6/2010,27,30,0.72,
167,Total,GAK01i,5/6/2010,27,40,0.54,
168,Total,GAK01i,5/6/2010,27,50,0.62,
154,Total,GAK02,5/6/2010,26,0,0.743313143,39.12050476
155,Total,GAK02,5/6/2010,26,10,0.82,
156,Total,GAK02,5/6/2010,26,20,0.84,
157,Total,GAK02,5/6/2010,26,30,0.96,
158,Total,GAK02,5/6/2010,26,40,0.85,
159,Total,GAK02,5/6/2010,26,50,0.48,
148,Total,GAK02i,5/6/2010,25,0,1.034420571,36.93013333
149,Total,GAK02i,5/6/2010,25,10,0.98,
150,Total,GAK02i,5/6/2010,25,20,0.95,
151,Total,GAK02i,5/6/2010,25,30,0.75,
152,Total,GAK02i,5/6/2010,25,40,0.41,
153,Total,GAK02i,5/6/2010,25,50,0.31,
113,Total,GAK03,5/5/2010,20,0,0.508731429,31.79571429
114,Total,GAK03,5/5/2010,20,20,0.92,
115,Total,GAK03,5/5/2010,20,40,0.47,
109,Total,GAK03i,5/5/2010,19,0,4.807512,88.347925
110,Total,GAK03i,5/5/2010,19,20,0.74,
111,Total,GAK03i,5/5/2010,19,30,0.91,
112,Total,GAK03i,5/5/2010,19,40,0.61,
118,Total,GAK04i,5/5/2010,21,0,10.05562707,136.5393504
119,Total,GAK04i,5/5/2010,21,10,4.75,
120,Total,GAK04i,5/5/2010,21,20,0.42,
121,Total,GAK04i,5/5/2010,21,30,0.41,
122,Total,GAK04i,5/5/2010,21,40,0.42,
123,Total,GAK04i,5/5/2010,21,50,0.33,
124,Total,GAK05,5/5/2010,22,0,7.970125714,126.2643143
125,Total,GAK05,5/5/2010,22,10,4.86,
126,Total,GAK05,5/5/2010,22,20,0.66,
127,Total,GAK05,5/5/2010,22,30,0.74,
128,Total,GAK05,5/5/2010,22,40,0.53,
129,Total,GAK05,5/5/2010,22,50,0.39,
133,Total,GAK05i,5/5/2010,23,0,7.461394286,122.8352621
134,Total,GAK05i,5/5/2010,23,10,3.31,
135,Total,GAK05i,5/5/2010,23,20,2.1,
136,Total,GAK05i,5/5/2010,23,30,1.01,
137,Total,GAK05i,5/5/2010,23,40,0.51,
138,Total,GAK05i,5/5/2010,23,50,0.35,
139,Total,GAK06,5/5/2010,24,0,1.277481143,42.58270476
140,Total,GAK06,5/5/2010,24,10,1.15,
141,Total,GAK06,5/5/2010,24,20,1.01,
142,Total,GAK06,5/5/2010,24,30,0.71,
143,Total,GAK06,5/5/2010,24,40,0.5,
144,Total,GAK06,5/5/2010,24,50,0.46,
97,Total,GAK06i,5/5/2010,16,0,0.700918857,37.5896
98,Total,GAK06i,5/5/2010,16,10,0.82,
99,Total,GAK06i,5/5/2010,16,20,0.98,
100,Total,GAK06i,5/5/2010,16,30,0.86,
101,Total,GAK06i,5/5/2010,16,40,0.66,
102,Total,GAK06i,5/5/2010,16,50,0.49,
89,Total,GAK07,5/5/2010,15,0,0.714009023,28.75076331
90,Total,GAK07,5/5/2010,15,10,0.73,
91,Total,GAK07,5/5/2010,15,30,0.56,
92,Total,GAK07,5/5/2010,15,40,0.47,
93,Total,GAK07,5/5/2010,15,50,0.4,
84,Total,GAK07i,5/5/2010,14,0,0.904411429,39.7108018
85,Total,GAK07i,5/5/2010,14,10,1.01,
86,Total,GAK07i,5/5/2010,14,20,1.06,
87,Total,GAK07i,5/5/2010,14,30,0.67,
88,Total,GAK07i,5/5/2010,14,50,0.33,
75,Total,GAK08,5/5/2010,13,0,1.076963609,35.6112
76,Total,GAK08,5/5/2010,13,10,0.97,
77,Total,GAK08,5/5/2010,13,20,0.66,
78,Total,GAK08,5/5/2010,13,30,0.56,
79,Total,GAK08,5/5/2010,13,40,0.59,
80,Total,GAK08,5/5/2010,13,50,0.42,
69,Total,GAK08i,5/4/2010,11,0,1.088863759,51.35906566
70,Total,GAK08i,5/4/2010,11,10,1.2,
71,Total,GAK08i,5/4/2010,11,20,0.8,
72,Total,GAK08i,5/4/2010,11,30,1.65,
73,Total,GAK08i,5/4/2010,11,40,1.15,
74,Total,GAK08i,5/4/2010,11,50,0.27,
64,Total,GAK09,5/4/2010,10,0,1.053163308,50.03021554
65,Total,GAK09,5/4/2010,10,10,1.05,
66,Total,GAK09,5/4/2010,10,30,1.02,
67,Total,GAK09,5/4/2010,10,40,0.72,
68,Total,GAK09,5/4/2010,10,50,0.54,
19,Total,GAK09i,5/3/2010,3,0,1.612470376,50.65497343
20,Total,GAK09i,5/3/2010,3,10,1.54,
21,Total,GAK09i,5/3/2010,3,20,1.27,
22,Total,GAK09i,5/3/2010,3,30,0.6,
23,Total,GAK09i,5/3/2010,3,40,0.43,
24,Total,GAK09i,5/3/2010,3,50,0.63,
25,Total,GAK10,5/3/2010,4,0,1.75527218,73.64705564
26,Total,GAK10,5/3/2010,4,10,2,
27,Total,GAK10,5/3/2010,4,20,2.02,
28,Total,GAK10,5/3/2010,4,30,1.71,
29,Total,GAK10,5/3/2010,4,40,0.83,
30,Total,GAK10,5/3/2010,4,50,0.51,
34,Total,GAK11,5/3/2010,6,0,1.493468872,53.61513584
35,Total,GAK11,5/3/2010,6,10,1.24,
36,Total,GAK11,5/3/2010,6,20,1.49,
37,Total,GAK11,5/3/2010,6,30,0.97,
38,Total,GAK11,5/3/2010,6,40,0.72,
39,Total,GAK11,5/3/2010,6,50,0.52,
55,Total,GAK12,5/4/2010,9,0,0.317139008,22.71937043
56,Total,GAK12,5/4/2010,9,10,0.35,
57,Total,GAK12,5/4/2010,9,20,0.39,
58,Total,GAK12,5/4/2010,9,30,0.62,
59,Total,GAK12,5/4/2010,9,40,0.56,
60,Total,GAK12,5/4/2010,9,50,0.49,
49,Total,GAK13,5/4/2010,8,0,2.112276692,90.68906266
50,Total,GAK13,5/4/2010,8,10,2.07,
51,Total,GAK13,5/4/2010,8,20,2.11,
52,Total,GAK13,5/4/2010,8,30,1.61,
