Seward Line Sep 2010,,,,,,,
Chlorophyll a Concentrations,,,,(nominal),,,
Collection,,,Filter,Depth,Chl (ug/L),,
Date,Station_Name,CTD_Cast,Size_Fraction,Depth_m,Chl-a_ug/L,,
9/14/2010,RES 2.5,2,Total,0,0.42,,
9/14/2010,RES 2.5,2,Total,20,0.62,,
9/14/2010,RES 2.5,2,Total,30,0.23,,
9/14/2010,RES 2.5,2,Total,40,0.12,,
9/15/2010,GAK01,3,Total,0,0.49,23.8456,
9/15/2010,GAK01,3,Total,10,0.91,,
9/15/2010,GAK01,3,Total,20,0.61,,
9/15/2010,GAK01,3,Total,30,0.37,,
9/15/2010,GAK01,3,Total,40,0.24,,
9/15/2010,GAK01,3,Total,50,0.24,,
9/15/2010,GAK01i,5,Total,0,1.88,54.863782,
9/15/2010,GAK01i,5,Total,10,2.27,,
9/15/2010,GAK01i,5,Total,20,1.46,,
9/15/2010,GAK01i,5,Total,30,0.54,,
9/15/2010,GAK01i,5,Total,40,0.25,,
9/15/2010,GAK01i,5,Total,50,0.17,,
9/15/2010,GAK02,7,Total,0,0.65,65.90982,
9/15/2010,GAK02,7,Total,10,1.74,,
9/15/2010,GAK02,7,Total,20,1.72,,
9/15/2010,GAK02,7,Total,30,0.72,,
9/15/2010,GAK02,7,Total,40,0.67,,
9/15/2010,GAK02i,8,Total,10,2.41,92.1109,
9/15/2010,GAK02i,8,Total,20,3.23,,
9/15/2010,GAK02i,8,Total,30,2.58,,
9/15/2010,GAK02i,8,Total,40,1.34,,
9/15/2010,GAK02i,8,Total,50,0.24,,
9/15/2010,GAK03,9,Total,0,1.26,53.651146,
9/15/2010,GAK03,9,Total,10,1.92,,
9/15/2010,GAK03,9,Total,20,1.88,,
9/15/2010,GAK03,9,Total,30,1.03,,
9/15/2010,GAK03,9,Total,40,0.25,,
9/15/2010,GAK03,9,Total,50,0.1,,
9/15/2010,GAK03i,10,Total,0,1.48,54.36506,
9/15/2010,GAK03i,10,Total,10,2.29,,
9/15/2010,GAK03i,10,Total,20,1.52,,
9/15/2010,GAK03i,10,Total,30,0.65,,
9/15/2010,GAK03i,10,Total,40,0.33,,
9/15/2010,GAK03i,10,Total,50,0.25,,
9/15/2010,GAK04,11,Total,0,0.92,28.053476,37.11
9/15/2010,GAK04,11,Total,10,0.7,,
9/15/2010,GAK04,11,Total,20,0.61,,
9/15/2010,GAK04,11,Total,30,0.74,,
9/15/2010,GAK04,11,Total,40,0.24,,
9/15/2010,GAK04,11,Total,50,0.15,,
9/15/2010,GAK04i,12,Total,0,1.14,36.107182,52.2
9/15/2010,GAK04i,12,Total,10,1.14,,
9/15/2010,GAK04i,12,Total,20,0.85,,
9/15/2010,GAK04i,12,Total,30,0.74,,
9/15/2010,GAK04i,12,Total,40,0.31,,
9/15/2010,GAK04i,12,Total,50,0.15,,
9/15/2010,GAK05,14,Total,0,1.32,64.17956,need to reduce by 1/3 to compensate for msiing depths
9/15/2010,GAK05,14,Total,10,1.52,,
9/15/2010,GAK05,14,Total,20,1.02,,
9/16/2010,GAK05i,16,Total,0,2.01,83.48868,need to reduce by 1/3 to compensate for msiing depths
9/16/2010,GAK05i,16,Total,5,1.74,,
9/16/2010,GAK05i,16,Total,15,1.94,,
9/16/2010,GAK05i,16,Total,20,1.41,,
9/16/2010,GAK05i,16,Total,25,1.25,,
9/16/2010,GAK06,17,Total,0,1.46,39.28915714,69.01
9/16/2010,GAK06,17,Total,10,2.08,,
9/16/2010,GAK06,17,Total,20,0.61,,
9/16/2010,GAK06,17,Total,30,0.21,,
9/16/2010,GAK06,17,Total,40,0.23,,
9/16/2010,GAK06,17,Total,50,0.08,,
9/16/2010,GAK06i,18,Total,0,0.85,31.659396,
9/16/2010,GAK06i,18,Total,10,1.27,,
9/16/2010,GAK06i,18,Total,20,0.86,,
9/16/2010,GAK06i,18,Total,30,0.42,,
9/16/2010,GAK06i,18,Total,40,0.23,,
9/16/2010,GAK06i,18,Total,50,0.17,,
9/16/2010,GAK07i,20,Total,0,0.93,40.19825333,
9/16/2010,GAK07i,20,Total,10,1.19,,
9/16/2010,GAK07i,20,Total,20,1.09,,
9/16/2010,GAK07i,20,Total,30,0.84,,
9/16/2010,GAK07i,20,Total,40,0.45,,
9/16/2010,GAK07i,20,Total,50,0.32,,
9/16/2010,GAK08,21,Total,0,0.84,37.75553333,
9/16/2010,GAK08,21,Total,10,1.07,,
9/16/2010,GAK08,21,Total,20,1.27,,
9/16/2010,GAK08,21,Total,30,0.63,,
9/16/2010,GAK08,21,Total,40,0.38,,
9/16/2010,GAK08,21,Total,50,0.34,,
9/16/2010,GAK08i,22,Total,0,1.1,38.33713333,
9/16/2010,GAK08i,22,Total,10,0.67,,
9/16/2010,GAK08i,22,Total,20,0.43,,
9/16/2010,GAK08i,22,Total,30,0.83,,
9/16/2010,GAK08i,22,Total,40,0.68,,
9/16/2010,GAK08i,22,Total,50,0.9,,
9/16/2010,GAK09,23,Total,0,1.11,31.09621333,
9/16/2010,GAK09,23,Total,10,0.67,,
9/16/2010,GAK09,23,Total,20,0.79,,
9/16/2010,GAK09,23,Total,30,0.52,,
9/16/2010,GAK09,23,Total,40,0.38,,
9/16/2010,GAK09,23,Total,50,0.25,,
9/16/2010,GAK07,19,Total,0,0.92,42.9657,
9/16/2010,GAK07,19,Total,10,1.02,,
9/16/2010,GAK07,19,Total,20,1.65,,
9/16/2010,GAK07,19,Total,30,0.81,,
9/16/2010,GAK07,19,Total,40,0.5,,
9/16/2010,GAK07,19,Total,50,0.26,,
9/16/2010,GAK09i,24,Total,0,1.28,38.722928,
9/16/2010,GAK09i,24,Total,10,1.17,,
9/16/2010,GAK09i,24,Total,20,1.04,,
9/16/2010,GAK09i,24,Total,30,0.74,,
9/16/2010,GAK09i,24,Total,40,0.26,,
9/16/2010,GAK09i,24,Total,50,0.15,,
9/17/2010,GAK10,27,Total,0,0.6,26.76814,
9/17/2010,GAK10,27,Total,10,0.59,,
9/17/2010,GAK10,27,Total,20,0.75,,
9/17/2010,GAK10,27,Total,30,0.57,,
9/17/2010,GAK10,27,Total,40,0.47,,
9/17/2010,GAK10,27,Total,50,0.23,,
9/17/2010,GAK11,28,Total,0,0.68,23.93284,
9/17/2010,GAK11,28,Total,10,0.67,,
9/17/2010,GAK11,28,Total,20,0.53,,
9/17/2010,GAK11,28,Total,30,0.4,,
9/17/2010,GAK11,28,Total,40,0.35,,
9/17/2010,GAK11,28,Total,50,0.25,,
9/17/2010,GAK12,29,Total,0,0.67,26.05568,
9/17/2010,GAK12,29,Total,10,0.52,,
9/17/2010,GAK12,29,Total,20,0.66,,
9/17/2010,GAK12,29,Total,30,0.56,,
9/17/2010,GAK12,29,Total,40,0.35,,
9/17/2010,GAK12,29,Total,50,0.37,,
9/17/2010,GAK13,30,Total,0,0.59,20.82128,
9/17/2010,GAK13,30,Total,10,0.59,,
9/17/2010,GAK13,30,Total,20,0.44,,
9/17/2010,GAK13,30,Total,30,0.35,,
9/17/2010,GAK13,30,Total,40,0.3,,
9/17/2010,GAK13,30,Total,50,0.22,,
9/18/2010,MS1,31,Total,0,0.81,42.102024,
9/18/2010,MS1,31,Total,10,0.89,,
9/18/2010,MS1,31,Total,20,1.06,,
9/18/2010,MS1,31,Total,30,0.85,,
9/18/2010,MS1,31,Total,40,0.59,,
9/18/2010,MS2,32,Total,0,0.81,39.92684,
9/18/2010,MS2,32,Total,10,1.4,,
9/18/2010,MS2,32,Total,20,1.21,,
9/18/2010,MS2,32,Total,30,0.67,,
9/18/2010,MS2,32,Total,40,0.39,,
9/18/2010,MS2,32,Total,50,0.32,,
9/18/2010,MS3,33,Total,0,0.58,37.84762,
9/18/2010,MS3,33,Total,10,1.18,,
9/18/2010,MS3,33,Total,20,1.26,,
9/18/2010,MS3,33,Total,30,0.91,,
9/18/2010,MS3,33,Total,40,0.35,,
9/18/2010,MS3,33,Total,50,0.26,,
9/18/2010,MS4,34,Total,0,0.63,,
9/18/2010,MS4,34,Total,10,0.68,,
9/18/2010,MS4,34,Total,20,1.16,,
9/18/2010,MS4,34,Total,30,0.56,,
9/18/2010,MS4,34,Total,40,0.32,,
9/18/2010,MS4,34,Total,50,0.24,,
9/18/2010,HB4,35,Total,0,0.81,,
9/18/2010,HB4,35,Total,10,1.46,,
9/18/2010,HB4,35,Total,20,0.98,,
9/18/2010,HB4,35,Total,30,0.48,,
9/18/2010,HB4,35,Total,40,0.34,,
9/18/2010,HB4,35,Total,50,0.23,,
9/18/2010,HB3,36,Total,0,1.69,,
9/18/2010,HB3,36,Total,10,0.89,,
9/18/2010,HB3,36,Total,20,1.2,,
9/18/2010,HB3,36,Total,30,0.72,,
9/18/2010,HB3,36,Total,40,0.36,,
9/18/2010,HB3,36,Total,50,0.23,,
9/18/2010,HB2,37,Total,0,0.76,,
9/18/2010,HB2,37,Total,10,1.4,,
9/18/2010,HB2,37,Total,20,0.75,,
9/18/2010,HB2,37,Total,30,0.44,,
9/18/2010,HB2,37,Total,40,0.46,,
9/18/2010,HB2,37,Total,50,0.26,,
9/18/2010,HB1,38,Total,0,0.84,,
9/18/2010,HB1,38,Total,10,1.73,,
9/18/2010,HB1,38,Total,20,0.55,,
9/18/2010,HB1,38,Total,30,0.44,,
9/18/2010,HB1,38,Total,40,0.25,,
9/18/2010,HB1,38,Total,50,0.19,,
9/18/2010,PWS3,39,Total,0,0.86,,
9/18/2010,PWS3,39,Total,10,0.5,,
9/18/2010,PWS3,39,Total,20,0.86,,
9/18/2010,PWS3,39,Total,30,0.42,,
9/18/2010,PWS3,39,Total,40,0.21,,
9/18/2010,PWS3,39,Total,50,0.14,,
9/19/2010,PWS2,40,Total,0,0.31,,
9/19/2010,PWS2,40,Total,10,2.18,,
9/19/2010,PWS2,40,Total,20,1.9,,
9/19/2010,PWS2,40,Total,30,0.54,,
9/19/2010,PWS2,40,Total,40,0.24,,
9/19/2010,PWS2,40,Total,50,0.15,,
9/19/2010,PWS1,41,Total,0,0.48,,
9/19/2010,PWS1,41,Total,10,1.18,,
9/19/2010,PWS1,41,Total,20,0.39,,
9/19/2010,PWS1,41,Total,30,0.34,,
9/19/2010,PWS1,41,Total,40,0.21,,
9/19/2010,PWS1,41,Total,50,0.13,,
9/19/2010,KIP2,42,Total,0,0.44,,
9/19/2010,KIP2,42,Total,10,1.55,,
9/19/2010,KIP2,42,Total,20,0.33,,
9/19/2010,KIP2,42,Total,30,0.37,,
9/19/2010,KIP2,42,Total,40,0.16,,
9/15/2010,GAK01Prod,4,Total,0,0.35,,
9/15/2010,GAK01Prod,4,Total,4,0.43,,
9/15/2010,GAK01Prod,4,Total,7,0.4,,
9/16/2010,GAK04Prod,15,Total,0,1.47,,
9/16/2010,GAK04Prod,15,Total,4,1.35,,
9/16/2010,GAK04Prod,15,Total,7,1.64,,
9/16/2010,GAK04Prod,15,Total,12,1.3,,
9/16/2010,GAK04Prod,15,Total,17,1.02,,
9/16/2010,GAK04Prod,15,Total,26,0.51,,
9/17/2010,GAK09Prod,26,Total,0,0.81,,
