a,,,,,,
b,,,,,,
c,,,,,,
Station_Name,CTD_Cast,Depth_m,Chl-a_ug/L,total_phaeo,Year,Season
Res 2.5,1,0,1.960266497,0.858929178,2012,Fall
Res 2.5,1,10,2.594561716,1.131673205,2012,Fall
Res 2.5,1,20,0.500212145,1.681932673,2012,Fall
Res 2.5,1,30,0.671185461,0.354102363,2012,Fall
Res 2.5,1,40,0.376660917,0.219147934,2012,Fall
Res 2.5,1,50,0.218234223,0.209587607,2012,Fall
Gak 1,2,0,1.041454525,0.655451585,2012,Fall
Gak 1,2,10,1.682934715,0.838289575,2012,Fall
Gak 1,2,20,0.559881944,0.336536294,2012,Fall
Gak 1,2,30,0.352241396,0.186042623,2012,Fall
Gak 1,2,40,0.123328217,0.106434265,2012,Fall
Gak 1,2,50,0.209468984,0.161726514,2012,Fall
Gak 1i,4,0,0.791680625,0.408276589,2012,Fall
Gak 1i,4,10,0.970746734,0.502276103,2012,Fall
Gak 1i,4,20,0.414259849,0.224168067,2012,Fall
Gak 1i,4,30,0.221375569,0.131679635,2012,Fall
Gak 1i,4,40,0.134799865,0.124149427,2012,Fall
Gak 1i,4,50,0.04543247,0.076411596,2012,Fall
Gak 2,5,0,1.272420432,0.655404489,2012,Fall
Gak 2,5,10,0.797729219,0.416866659,2012,Fall
Gak 2,5,20,0.712454485,0.498541453,2012,Fall
Gak 2,5,30,0.134967017,0.092376709,2012,Fall
Gak 2,5,40,0.146318845,0.181102744,2012,Fall
Gak 2,5,50,0.110583741,0.149691415,2012,Fall
Gak 2i,6,0,1.287733161,0.754921063,2012,Fall
Gak 2i,6,10,1.065396469,0.719931849,2012,Fall
Gak 2i,6,20,0.720593757,0.424779342,2012,Fall
Gak 2i,6,30,0.521438724,0.288820995,2012,Fall
Gak 2i,6,40,0.148785188,0.138621208,2012,Fall
Gak 2i,6,50,0.041000387,0.057800952,2012,Fall
Gak 3,7,0,0.834158088,0.527308926,2012,Fall
Gak 3,7,10,1.407463776,0.847877703,2012,Fall
Gak 3,7,20,0.173098959,0.241980629,2012,Fall
Gak 3,7,30,0.062522894,0.087732646,2012,Fall
Gak 3,7,40,0.046437513,0.110942226,2012,Fall
Gak 3,7,50,0.026656456,0.048250398,2012,Fall
Gak 3i,8,0,1.07806078,0.370748534,2012,Fall
Gak 3i,8,10,1.272138576,0.789996275,2012,Fall
Gak 3i,8,20,0.757463532,0.623516384,2012,Fall
Gak 3i,8,30,0.385411657,0.421644324,2012,Fall
Gak 3i,8,40,0.095786112,0.122029127,2012,Fall
Gak 3i,8,50,0.072797615,0.154194055,2012,Fall
Gak 4,9,0,1.854707546,0.564238629,2012,Fall
Gak 4,9,10,1.64683887,0.50153018,2012,Fall
Gak 4,9,20,0.261860856,0.274041505,2012,Fall
Gak 4,9,30,0.063867784,0.079414543,2012,Fall
Gak 4,9,40,0.037060379,0.115445493,2012,Fall
Gak 4,9,50,0.048866758,0.143153121,2012,Fall
Gak 4i,10,0,0.217589068,0.150250593,2012,Fall
Gak 4i,10,10,1.402589082,0.449569599,2012,Fall
Gak 4i,10,20,0.454516155,0.367569127,2012,Fall
Gak 4i,10,30,0.050126367,0.055487553,2012,Fall
Gak 4i,10,40,0.029152647,0.212800065,2012,Fall
Gak 4i,10,50,0.025835621,0.019032664,2012,Fall
Gak 5,11,0,0.540508106,0.20988185,2012,Fall
Gak 5,11,10,0.281683274,0.046443909,2012,Fall
Gak 5,11,20,0.049946849,0.078052059,2012,Fall
Gak 5,11,30,0.063956903,0.058795309,2012,Fall
Gak 5,11,40,0.028582114,0.04294887,2012,Fall
Gak 5,11,50,0.026638547,0.058318385,2012,Fall
Gak 5i,12,0,2.378857797,0.33064064,2012,Fall
Gak 5i,12,10,0.566820878,0.153481912,2012,Fall
Gak 5i,12,20,0.163678332,0.190473844,2012,Fall
Gak 5i,12,30,0.134918407,0.283212078,2012,Fall
Gak 5i,12,40,0.064391839,0.095725323,2012,Fall
Gak 5i,12,50,0.060027982,0.135264266,2012,Fall
Gak 6,13,0,0.348987052,0.166599618,2012,Fall
Gak 6,13,10,1.329827711,0.55194774,2012,Fall
Gak 6,13,20,0.156653264,0.150736801,2012,Fall
Gak 6,13,30,0.032799713,0.034701743,2012,Fall
Gak 6,13,40,0.048431396,0.068626354,2012,Fall
Gak 6,13,50,0.067447477,0.095014245,2012,Fall
Gak 6i,14,0,0.274185746,0.139094615,2012,Fall
Gak 6i,14,10,2.175934598,1.188627375,2012,Fall
Gak 6i,14,20,0.942959018,0.649374869,2012,Fall
Gak 6i,14,30,0.159818063,0.202991552,2012,Fall
Gak 6i,14,40,0.6445047,0.427602737,2012,Fall
Gak 6i,14,50,0.041195256,0.093431117,2012,Fall
Gak 7,15,0,0.250251477,0.163672895,2012,Fall
Gak 7,15,10,3.898663819,1.697921272,2012,Fall
Gak 7,15,20,0.790169009,0.54337659,2012,Fall
Gak 7,15,30,0.783181891,0.536548607,2012,Fall
Gak 7,15,40,0.065293691,0.101073283,2012,Fall
Gak 7,15,50,0.108279433,0.195183863,2012,Fall
Gak 7i,16,0,1.207313933,0.753965121,2012,Fall
Gak 7i,16,10,1.756977441,0.998688805,2012,Fall
Gak 7i,16,20,1.167722824,0.989502506,2012,Fall
Gak 7i,16,30,0.038287581,0.123834329,2012,Fall
Gak 7i,16,40,0.214949604,0.24320572,2012,Fall
Gak 7i,16,50,0.020064618,0.030470678,2012,Fall
Gak 8,17,0,0.46398923,0.27027742,2012,Fall
Gak 8,17,10,0.378865445,0.235100024,2012,Fall
Gak 8,17,20,0.427491709,0.447743499,2012,Fall
Gak 8,17,30,0.033247441,0.042463316,2012,Fall
Gak 8,17,40,0.310812042,0.281278157,2012,Fall
Gak 8,17,50,0.135184911,0.121972202,2012,Fall
Gak 8i,18,0,0.660319312,0.32635041,2012,Fall
Gak 8i,18,10,1.519978717,0.949257168,2012,Fall
Gak 8i,18,20,0.485828557,0.440384519,2012,Fall
Gak 8i,18,30,0.103155291,0.174232931,2012,Fall
Gak 8i,18,40,0.074839682,0.130433641,2012,Fall
Gak 8i,18,50,0.043907636,0.092792115,2012,Fall
Gak 9,19,0,0.99373523,0.55676272,2012,Fall
Gak 9,19,10,1.716350587,0.854828794,2012,Fall
Gak 9,19,20,1.710571056,1.051585765,2012,Fall
Gak 9,19,30,1.095402358,0.665670145,2012,Fall
Gak 9,19,40,0.107456466,0.185002235,2012,Fall
Gak 9,19,50,0.058477989,0.124651479,2012,Fall
Gak 9i,20,0,1.673431365,1.202606178,2012,Fall
Gak 9i,20,10,1.979470198,1.080047013,2012,Fall
Gak 9i,20,20,0.955673646,0.464493078,2012,Fall
Gak 9i,20,30,0.78541243,0.734119885,2012,Fall
Gak 9i,20,40,0.160169423,0.243693744,2012,Fall
Gak 9i,20,50,0.03377576,0.111624833,2012,Fall
Gak 10,21,0,1.421988504,0.586681835,2012,Fall
Gak 10,21,10,0.553416323,0.193351436,2012,Fall
Gak 10,21,20,0.616029615,0.418419802,2012,Fall
Gak 10,21,30,0.146055751,0.114233131,2012,Fall
Gak 10,21,40,0.063311748,0.057279536,2012,Fall
Gak 10,21,50,0.070222113,0.137476273,2012,Fall
Gak 11,22,0,1.035234515,0.469938851,2012,Fall
Gak 11,22,10,0.138404717,0.045019306,2012,Fall
Gak 11,22,20,0.681687885,0.451435627,2012,Fall
Gak 11,22,30,0.032725092,0.023257227,2012,Fall
Gak 11,22,40,0.046995681,0.040857451,2012,Fall
Gak 11,22,50,0.014693586,0.007939214,2012,Fall
Gak 12,23,0,0.342883024,0.760037577,2012,Fall
Gak 12,23,10,0.446052813,0.217033795,2012,Fall
Gak 12,23,20,0.089801052,0.219404563,2012,Fall
Gak 12,23,30,0.125075636,0.079470577,2012,Fall
Gak 12,23,40,0.031714505,0.078040606,2012,Fall
Gak 12,23,50,0.035927414,0.019320745,2012,Fall
Gak 13,25,0,0.735610986,-0.176235568,2012,Fall
Gak 13,25,10,0.419656892,0.117957517,2012,Fall
Gak 13,25,20,0.720844485,-0.448751186,2012,Fall
Gak 13,25,30,0.028649912,0.02448703,2012,Fall
Gak 13,25,40,0.213320726,0.014876613,2012,Fall
Gak 13,25,50,0.019081322,0.026327474,2012,Fall
KIP2,34,0,0.409882773,0.234067844,2012,Fall
KIP2,34,10,0.385215083,0.250696882,2012,Fall
KIP2,34,20,0.227393888,0.165887593,2012,Fall
KIP2,34,30,0.122185017,0.159769533,2012,Fall
KIP2,34,40,0.059326967,0.117545641,2012,Fall
KIP2,34,50,0.031576349,0.064175949,2012,Fall
HB 1,33,0,0.495393737,0.199162661,2012,Fall
HB 1,33,10,0.21633884,0.074573267,2012,Fall
HB 1,33,20,0.155383422,0.069087846,2012,Fall
HB 1,33,30,0.019037402,0.032621206,2012,Fall
HB 1,33,40,0.099509078,0.12553683,2012,Fall
HB 1,33,50,0.03101946,0.047396815,2012,Fall
HB 2,32,0,0.737665419,0.403173255,2012,Fall
HB 2,32,10,0.319129553,0.193408817,2012,Fall
HB 2,32,20,0.524600111,0.454578888,2012,Fall
HB 2,32,30,0.087590981,0.096191033,2012,Fall
HB 2,32,40,0.040532618,0.083520603,2012,Fall
HB 2,32,50,0.069094264,0.133052114,2012,Fall
HB 4,30,0,0.742166153,0.354902692,2012,Fall
HB 4,30,10,1.109376168,0.555756696,2012,Fall
HB 4,30,20,0.193855211,0.213939917,2012,Fall
HB 4,30,30,0.197508246,0.206679523,2012,Fall
HB 4,30,40,0.145836151,0.131555409,2012,Fall
HB 4,30,50,0.059655728,0.134249816,2012,Fall
Ms1,29,0,0.663667466,0.25118488,2012,Fall
Ms1,29,10,0.505949888,0.167067715,2012,Fall
Ms1,29,20,0.400314183,0.189865497,2012,Fall
MS1,29,30,0.122130011,0.058512814,2012,Fall
MS1,29,40,0.224559982,0.211299387,2012,Fall
MS1,29,50,0.031672717,0.035120548,2012,Fall
MS 2,28,0,1.323217538,0.545380519,2012,Fall
MS 2,28,10,1.134032345,0.509136587,2012,Fall
MS 2,28,20,0.668401445,0.508999761,2012,Fall
MS 2,28,30,0.507602644,0.26028174,2012,Fall
MS 2,28,40,0.219348426,0.177774128,2012,Fall
MS 2 ,28,50,0.069889514,0.086992377,2012,Fall
MS 3,27,0,1.401206668,0.849469803,2012,Fall
MS 3,27,10,0.948909539,0.573202164,2012,Fall
MS 3,27,20,0.582345532,0.414990827,2012,Fall
MS 3,27,30,0.333740842,0.226394333,2012,Fall
MS 3,27,40,0.382048153,0.313318826,2012,Fall
MS 3 ,27,50,0.172501136,0.17540939,2012,Fall
MS 4,26,0,2.189359194,0.946573626,2012,Fall
MS 4,26,10,1.179005573,0.695042102,2012,Fall
MS 4,26,20,0.892201142,0.501861942,2012,Fall
MS 4,26,30,0.691354976,0.465025687,2012,Fall
MS 4,26,40,0.624375694,0.404162611,2012,Fall
MS 4 ,26,50,0.587149442,0.4479336,2012,Fall
PWS A,38,0,1.147533694,0.595397772,2012,Fall
PWS A,38,10,0.915257437,0.490630839,2012,Fall
PWS A,38,20,0.646301582,0.314084948,2012,Fall
PWS A,38,30,0.278805874,0.154706337,2012,Fall
PWS A,38,40,0.702352459,0.380120755,2012,Fall
PWS A,38,50,0.048876139,0.005471294,2012,Fall
PWS B,43,0,0.55566605,0.297648259,2012,Fall
PWS B,43,10,0.094600272,0.069084184,2012,Fall
PWS B,43,20,0.228820649,0.165127475,2012,Fall
PWS B,43,30,0.060819395,0.031361158,2012,Fall
PWS B,43,40,0.026421505,0.023594426,2012,Fall
PWS B,43,50,0.037428796,0.04037871,2012,Fall
PWS C,42,0,0.711867322,0.281259958,2012,Fall
PWS C,42,10,0.119270947,0.051580741,2012,Fall
PWS C,42,20,0.348969569,0.183851104,2012,Fall
PWS C,42,30,0.109171052,0.148862303,2012,Fall
PWS C,42,40,0.073730596,0.120060688,2012,Fall
PWS C,42,50,0.089835591,0.134432012,2012,Fall
PWS D,41,0,0.600134838,0.219391088,2012,Fall
PWS D,41,10,0.376413174,0.138326931,2012,Fall
PWS D,41,20,0.127952609,0.046668924,2012,Fall
PWS D,41,30,0.077637344,0.025699904,2012,Fall
PWS D,41,40,0.075131345,0.06623601,2012,Fall
PWS D,41,50,0.06056355,0.032120415,2012,Fall
PWS E,40,0,0.694145388,0.379253041,2012,Fall
PWS E,40,10,0.398075542,0.265254055,2012,Fall
PWS E,40,20,0.183893046,0.125705432,2012,Fall
PWS E,40,30,0.373615939,0.214113081,2012,Fall
PWS E,40,40,0.168730412,0.106144085,2012,Fall
PWS E,40,50,0.02432827,0.022065093,2012,Fall
PWS F,39,0,0.512914832,0.370863553,2012,Fall
PWS F,39,10,0.677321469,0.332203266,2012,Fall
PWS F,39,20,0.605361318,0.342856127,2012,Fall
PWS F,39,30,0.150498494,0.041038376,2012,Fall
PWS F,39,40,0.527707771,0.240021174,2012,Fall
PWS F,39,50,0.176470992,0.052873772,2012,Fall
PWS1,45,0,0.458794731,0.123259859,2012,Fall
PWS1,45,10,0.162632354,0.05341148,2012,Fall
PWS1,45,20,0.381010276,0.1670953,2012,Fall
PWS1,45,30,0.059048097,0.029653084,2012,Fall
PWS1,45,40,0.216258676,0.200326699,2012,Fall
