Cruise,Cast,Station_Name,Date_Time,Year,Month,Day,Time (hh:mm:ss AM/PM),Latitude (degrees),Longitude (degrees),Bot_Depth (m),Pressure (dbars),Bottle,Chlorophyll-a <20 um [ugrams/l],Chlorophyll-a >20 um [ugrams/l],Chlorophyll-a Total [ugrams/l],Phaeopigments [ugrams/l]
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,2,2-Feb,0.403017317,0.17044274,0.573460057,0.081556711
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,10,10-Feb,0.523362765,0.467388138,0.990750904,0.132717801
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,20,20-Feb,0.456193213,0.467388138,0.923581351,0.210776657
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,31,Feb-31,0.288269331,0.232294703,0.520564034,0.459473326
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,41,Feb-41,0.193112464,0.123424053,0.316536518,0.546168592
TXS14,2, GAK1,5/3/2014 15:31,2014,5,3, 3:31:31 PM,59.843,-149.473,270,51,Feb-51,0.193112464,0.08564118,0.278753644,0.429595581
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,2,2-May,0.243489629,0.041141351,0.28463098,0.347220885
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,10,10-May,0.159527688,0.077804732,0.23733242,0.51130723
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,20,20-May,0.187515002,0.090958769,0.278473771,0.509639606
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,30,30-May,0.167923882,0.115027859,0.282951741,0.484471958
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,41,May-41,0.458991944,0.07136765,0.530359594,0.169550421
TXS14,5, GAK2,5/3/2014 18:57,2014,5,3, 6:57:36 PM,59.688,-149.322,224,50,May-50,0.352640152,0.096276359,0.448916511,0.173679445
TXS14,7, GAK3,5/3/2014 21:30,2014,5,3, 9:30:02 PM,59.555,-149.19,212,2,2-Jul,0.889996574,0.008396194,0.898392769,0.181281723
TXS14,7, GAK3,5/3/2014 21:30,2014,5,3, 9:30:02 PM,59.555,-149.19,212,10,10-Jul,0.864807992,0.012314418,0.87712241,0.12496579
TXS14,7, GAK3,5/3/2014 21:30,2014,5,3, 9:30:02 PM,59.555,-149.19,212,20,20-Jul,1.057920456,0.011474799,1.069395255,0.061186733
TXS14,7, GAK3,5/3/2014 21:30,2014,5,3, 9:30:02 PM,59.555,-149.19,212,30,30-Jul,0.453394481,0.015952769,0.46934725,0.164954708
TXS14,7, GAK3,5/3/2014 21:30,2014,5,3, 9:30:02 PM,59.555,-149.19,212,41,Jul-41,0.20430739,0.029386679,0.233694069,0.210589534
