Cruise:,TXS15,,,,,,,
nd:,not determined,,,,,,,
,,,,,,,,
Cast,Station,Latitude,Longitude,Date,Niskin,Depth,Size_Fraction,Chl-a_ug/L
3,GAK10,58.54,148.21,5/5/2015,"14,15",0,<20,1.67
3,GAK10,58.54,148.21,5/5/2015,13,10,<20,1.65
3,GAK10,58.54,148.21,5/5/2015,12,20,<20,1.38
3,GAK10,58.54,148.21,5/5/2015,11,30,<20,1.3
3,GAK10,58.54,148.21,5/5/2015,10,40,<20,1.33
3,GAK10,58.54,148.21,5/5/2015,9,50,<20,0.3
3,GAK10,58.54,148.21,5/5/2015,"14,15",0,>20,0.44
3,GAK10,58.54,148.21,5/5/2015,13,10,>20,0.35
3,GAK10,58.54,148.21,5/5/2015,12,20,>20,0.24
3,GAK10,58.54,148.21,5/5/2015,11,30,>20,0.18
3,GAK10,58.54,148.21,5/5/2015,10,40,>20,0.11
3,GAK10,58.54,148.21,5/5/2015,9,50,>20,0.08
3,GAK10,58.54,148.21,5/5/2015,"14,15",0,Total,2.12
3,GAK10,58.54,148.21,5/5/2015,13,10,Total,2
3,GAK10,58.54,148.21,5/5/2015,12,20,Total,1.62
3,GAK10,58.54,148.21,5/5/2015,11,30,Total,1.48
3,GAK10,58.54,148.21,5/5/2015,10,40,Total,1.44
3,GAK10,58.54,148.21,5/5/2015,9,50,Total,0.38
3,GAK10,58.54,148.21,5/5/2015,"14,15",0,Total_Phaeo (µg/L),0.27
3,GAK10,58.54,148.21,5/5/2015,13,10,Total_Phaeo (µg/L),0.29
3,GAK10,58.54,148.21,5/5/2015,12,20,Total_Phaeo (µg/L),0.36
3,GAK10,58.54,148.21,5/5/2015,11,30,Total_Phaeo (µg/L),0.29
3,GAK10,58.54,148.21,5/5/2015,10,40,Total_Phaeo (µg/L),0.52
3,GAK10,58.54,148.21,5/5/2015,9,50,Total_Phaeo (µg/L),0.44
4,GAK11,58.39,148.07,5/5/2015,"14,15",0,<20,1.48
4,GAK11,58.39,148.07,5/5/2015,13,10,<20,1.58
